編輯總資料庫
,成語,出處,頻次
1,一一垂丹青,"[Z]:成語辨正辭典
[AC]:成語典",2
2,一丁不識,"[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
3,一丁點兒,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
4,一九牲畜,"[AC]:成語典",1
5,一了一切了,"[J]:漢語成語考釋詞典",1
6,一了千明,"[K]:中國成語大辭典",1
7,一了百了,"[B]:中國成語大辭典
[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[H]:活用造句辭典(成語部分)
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[S]:活用成語分類辭典(上)(下)
[U]:同義反義成語詞典
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AB]:漢英對照成語辭典
[AC]:成語典",14
8,一了百當,"[G(2)]:實用成語辭典
[J]:漢語成語考釋詞典
[K]:中國成語大辭典
[S]:活用成語分類辭典(上)(下)
[AC]:成語典",5
9,一二三四五六七,"[AC]:成語典",1
10,一人不敵兩人智,"[AC]:成語典",1
11,一人之下萬人之上,"[B]:中國成語大辭典
[AC]:成語典",2
12,一人之下，萬人之上,"[G(1)]:實用成語辭典
[I]:實用分類學生成語辭典(上)(下)
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[V]:中國成語大辭典
[W]:成語大辭典(上)(下)",6
13,一人之交,"[K]:中國成語大辭典",1
14,一人向隅，滿堂不歡,"[P(下)]:成語分類辭典(上)(下)",1
15,一人守隘，萬夫莫向,"[J]:漢語成語考釋詞典",1
16,一人守險千人不得上,"[AC]:成語典",1
17,一人有慶，兆民賴之,"[G(1)]:實用成語辭典
[N]:遠流活用成語辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",4
18,一人兩心,"[AC]:成語典",1
19,一人知儉一家富,"[AC]:成語典",1
20,一人計短，二人計長,"[AB]:漢英對照成語辭典",1
21,一人虛傳，萬人傳實,"[G(2)]:實用成語辭典",1
22,一人做事一人當,"[K]:中國成語大辭典
[W]:成語大辭典(上)(下)
[AC]:成語典",3
23,一人得道，雞犬升天,"[D]:簡明實用成語辭典
[E]:成語辭典
[G(1)]:實用成語辭典
[K]:中國成語大辭典
[N]:遠流活用成語辭典
[P(下)]:成語分類辭典(上)(下)
[W]:成語大辭典(上)(下)
[AA]:成語典故文選(上)(下)",8
24,一人得道雞犬升天,"[L]:小叮噹漫書成語小百科(1)~(10)",1
25,一人鄉隅,"[S]:活用成語分類辭典(上)(下)
[AC]:成語典",2
26,一人傳十十人傳百,"[B]:中國成語大辭典",1
